Day,Campaign,Impr.,Clicks,CTR,Cost,Conversions,Conv. value
2026/07/13,Lumiere-Serum-PMax,198613,2643,1.33,2336000,84,7030000
2026/07/14,Lumiere-Serum-PMax,183762,2437,1.33,2132000,76,6769000
2026/07/15,Lumiere-Serum-PMax,185336,2395,1.29,2118000,77,6800000
2026/07/16,Lumiere-Serum-PMax,183602,2340,1.27,2053000,72,6392000
2026/07/17,Lumiere-Serum-PMax,195592,2474,1.27,2169000,73,6293000
2026/07/18,Lumiere-Serum-PMax,184648,2275,1.23,2036000,67,5637000
2026/07/19,Lumiere-Serum-PMax,192155,2339,1.22,2120000,66,5855000
2026/07/13,Lumiere-Ampoule-PMax,118526,1421,1.20,1359000,39,3892000
2026/07/14,Lumiere-Ampoule-PMax,113519,1315,1.16,1228000,38,3865000
2026/07/15,Lumiere-Ampoule-PMax,112521,1339,1.19,1255000,34,3534000
2026/07/16,Lumiere-Ampoule-PMax,115554,1327,1.15,1242000,34,3576000
2026/07/17,Lumiere-Ampoule-PMax,117327,1366,1.16,1306000,38,3946000
2026/07/18,Lumiere-Ampoule-PMax,114674,1264,1.10,1230000,34,3488000
2026/07/19,Lumiere-Ampoule-PMax,118531,1292,1.09,1229000,33,3353000
2026/07/13,Lumiere-Brand-Search,24019,1768,7.36,565000,155,14235000
2026/07/14,Lumiere-Brand-Search,22332,1589,7.12,522000,131,12046000
2026/07/15,Lumiere-Brand-Search,23738,1757,7.41,563000,141,13175000
2026/07/16,Lumiere-Brand-Search,22011,1577,7.17,525000,124,11526000
2026/07/17,Lumiere-Brand-Search,21962,1587,7.23,528000,129,11982000
2026/07/18,Lumiere-Brand-Search,22324,1599,7.17,534000,119,10852000
2026/07/19,Lumiere-Brand-Search,22099,1500,6.79,490000,113,10871000
2026/07/13,Lumiere-Cushion-Shopping,62079,1050,1.69,699000,25,1486000
2026/07/14,Lumiere-Cushion-Shopping,61314,1055,1.72,693000,27,1637000
2026/07/15,Lumiere-Cushion-Shopping,64097,1081,1.69,716000,27,1543000
2026/07/16,Lumiere-Cushion-Shopping,59421,969,1.63,645000,24,1472000
2026/07/17,Lumiere-Cushion-Shopping,60549,997,1.65,677000,22,1259000
2026/07/18,Lumiere-Cushion-Shopping,62745,1054,1.68,705000,26,1526000
2026/07/19,Lumiere-Cushion-Shopping,58348,956,1.64,645000,21,1218000
