날짜,캠페인명,노출,클릭,CTR,소진금액(VAT포함),전환,매출
26.7.6,루미에르 세럼 신규,138133,1389,1.01,1807000,49,3920000
26.7.7,루미에르 세럼 신규,142130,1470,1.03,1958000,53,3935000
26.7.8,루미에르 세럼 신규,136082,1324,0.97,1763000,43,3500000
26.7.9,루미에르 세럼 신규,141139,1373,0.97,1844000,45,3476000
26.7.10,루미에르 세럼 신규,133829,1332,1.00,1761000,46,3748000
26.7.11,루미에르 세럼 신규,132909,1272,0.96,1689000,44,3437000
26.7.12,루미에르 세럼 신규,140289,1319,0.94,1760000,41,3306000
26.7.6,루미에르 앰플 교차,98660,874,0.89,1174000,20,2011000
26.7.7,루미에르 앰플 교차,91646,776,0.85,1040000,18,1813000
26.7.8,루미에르 앰플 교차,92677,767,0.83,1049000,17,1685000
26.7.9,루미에르 앰플 교차,95758,797,0.83,1080000,19,1828000
26.7.10,루미에르 앰플 교차,93039,770,0.83,1025000,18,1705000
26.7.11,루미에르 앰플 교차,96444,818,0.85,1129000,18,1709000
26.7.12,루미에르 앰플 교차,90736,725,0.80,989000,15,1489000
26.7.6,루미에르 쿠션 신규,71565,548,0.77,689000,10,635000
26.7.7,루미에르 쿠션 신규,70159,539,0.77,672000,10,637000
26.7.8,루미에르 쿠션 신규,69109,525,0.76,657000,9,576000
26.7.9,루미에르 쿠션 신규,70039,531,0.76,682000,10,629000
26.7.10,루미에르 쿠션 신규,72144,540,0.75,696000,9,544000
26.7.11,루미에르 쿠션 신규,68459,499,0.73,649000,8,487000
26.7.12,루미에르 쿠션 신규,72395,544,0.75,685000,9,533000
