stat_date,campaign_name,Imp,Clk,CTR(%),Spend,CV,CV Value
20260713,Lumiere_Serum_TT,159038,2284,1.44,1367000,55,4398000
20260714,Lumiere_Serum_TT,158504,2226,1.40,1346000,57,4244000
20260715,Lumiere_Serum_TT,159532,2157,1.35,1278000,52,4077000
20260716,Lumiere_Serum_TT,150744,2031,1.35,1211000,50,3882000
20260717,Lumiere_Serum_TT,154782,2118,1.37,1276000,47,3795000
20260718,Lumiere_Serum_TT,152772,1977,1.29,1204000,47,3740000
20260719,Lumiere_Serum_TT,151932,2021,1.33,1239000,43,3476000
20260713,Lumiere_Ampoule_TT,89416,1128,1.26,720000,23,2274000
20260714,Lumiere_Ampoule_TT,93269,1149,1.23,743000,23,2155000
20260715,Lumiere_Ampoule_TT,89132,1099,1.23,711000,22,2152000
20260716,Lumiere_Ampoule_TT,90860,1100,1.21,696000,20,1862000
20260717,Lumiere_Ampoule_TT,91227,1052,1.15,665000,20,2055000
20260718,Lumiere_Ampoule_TT,88301,1050,1.19,682000,19,1853000
20260719,Lumiere_Ampoule_TT,91014,1075,1.18,701000,21,2005000
20260713,Lumiere_Spark_Test,593,9,1.56,15000,0,0
20260714,Lumiere_Spark_Test,590,8,1.51,13000,0,0
20260715,Lumiere_Spark_Test,610,8,1.46,13000,0,0
20260716,Lumiere_Spark_Test,595,9,1.53,15000,0,0
20260717,Lumiere_Spark_Test,561,8,1.50,14000,0,0
20260718,Lumiere_Spark_Test,585,8,1.48,14000,0,0
20260719,Lumiere_Spark_Test,588,8,1.40,14000,0,0
