Date,Campaign,Objective,Impressions,Clicks,CTR,Amount spent (KRW),Results,Purchase conversion value
2026-07-13,LUMIERE_Serum_Conv,Purchases,249774,2957,1.18,2771000,117,9922000
2026-07-14,LUMIERE_Serum_Conv,Purchases,240448,2767,1.15,2621000,101,8479000
2026-07-15,LUMIERE_Serum_Conv,Purchases,244710,2781,1.14,2662000,102,8570000
2026-07-16,LUMIERE_Serum_Conv,Purchases,242251,2730,1.13,2679000,101,8238000
2026-07-17,LUMIERE_Serum_Conv,Purchases,233645,2649,1.13,2593000,99,8349000
2026-07-18,LUMIERE_Serum_Conv,Purchases,231107,2567,1.11,2539000,84,7212000
2026-07-19,LUMIERE_Serum_Conv,Purchases,235877,2542,1.08,2507000,89,7538000
2026-07-13,LUMIERE_Ampoule_Conv,Purchases,125569,1275,1.02,1310000,38,3747000
2026-07-14,LUMIERE_Ampoule_Conv,Purchases,125785,1291,1.03,1329000,38,3774000
2026-07-15,LUMIERE_Ampoule_Conv,Purchases,124129,1269,1.02,1277000,40,4058000
2026-07-16,LUMIERE_Ampoule_Conv,Purchases,126058,1242,0.99,1290000,38,3978000
2026-07-17,LUMIERE_Ampoule_Conv,Purchases,125174,1272,1.02,1290000,40,4162000
2026-07-18,LUMIERE_Ampoule_Conv,Purchases,131970,1303,0.99,1370000,41,4111000
2026-07-19,LUMIERE_Ampoule_Conv,Purchases,122475,1180,0.96,1208000,35,3658000
2026-07-13,LUMIERE_Cushion_Conv,Purchases,113734,1057,0.93,948000,26,1493000
2026-07-14,LUMIERE_Cushion_Conv,Purchases,112215,995,0.89,920000,22,1216000
2026-07-15,LUMIERE_Cushion_Conv,Purchases,115386,1013,0.88,924000,23,1372000
2026-07-16,LUMIERE_Cushion_Conv,Purchases,110672,998,0.90,908000,21,1173000
2026-07-17,LUMIERE_Cushion_Conv,Purchases,116274,1020,0.88,955000,22,1256000
2026-07-18,LUMIERE_Cushion_Conv,Purchases,110411,980,0.89,905000,20,1206000
2026-07-19,LUMIERE_Cushion_Conv,Purchases,113999,998,0.88,928000,23,1369000
2026-07-13,LUMIERE_Serum_Traffic,Link clicks,87434,2225,2.55,772000,2225,0
2026-07-14,LUMIERE_Serum_Traffic,Link clicks,83565,2120,2.54,738000,2120,0
2026-07-15,LUMIERE_Serum_Traffic,Link clicks,82701,2084,2.52,737000,2084,0
2026-07-16,LUMIERE_Serum_Traffic,Link clicks,85782,2081,2.43,740000,2081,0
2026-07-17,LUMIERE_Serum_Traffic,Link clicks,84804,2000,2.36,708000,2000,0
2026-07-18,LUMIERE_Serum_Traffic,Link clicks,84081,2019,2.40,723000,2019,0
2026-07-19,LUMIERE_Serum_Traffic,Link clicks,84350,2034,2.41,720000,2034,0
