일자,캠페인,노출수,클릭수,클릭률(%),광고비(VAT별도),전환수,전환매출
2026-07-13,루미에르_세럼_리타겟,175637,1878,1.07,1937000,73,6532000
2026-07-14,루미에르_세럼_리타겟,175930,1831,1.04,1937000,71,6476000
2026-07-15,루미에르_세럼_리타겟,164548,1679,1.02,1791000,66,5994000
2026-07-16,루미에르_세럼_리타겟,161564,1721,1.07,1816000,60,5274000
2026-07-17,루미에르_세럼_리타겟,160652,1634,1.02,1734000,61,5521000
2026-07-18,루미에르_세럼_리타겟,171568,1766,1.03,1903000,62,5521000
2026-07-19,루미에르_세럼_리타겟,167030,1682,1.01,1810000,59,5207000
2026-07-13,루미에르_세럼_신규,123490,1046,0.85,979000,21,1805000
2026-07-14,루미에르_세럼_신규,124324,1029,0.83,956000,20,1646000
2026-07-15,루미에르_세럼_신규,127696,1056,0.83,1014000,18,1423000
2026-07-16,루미에르_세럼_신규,125661,1043,0.83,1007000,20,1604000
2026-07-17,루미에르_세럼_신규,125846,1011,0.80,971000,17,1431000
2026-07-18,루미에르_세럼_신규,123979,983,0.79,930000,16,1311000
2026-07-19,루미에르_세럼_신규,127904,1011,0.79,987000,17,1417000
2026-07-13,루미에르_앰플_리타겟,85152,866,1.02,971000,29,3125000
2026-07-14,루미에르_앰플_리타겟,86402,833,0.96,946000,30,3255000
2026-07-15,루미에르_앰플_리타겟,88099,872,0.99,989000,29,2979000
2026-07-16,루미에르_앰플_리타겟,86356,840,0.97,937000,29,3000000
2026-07-17,루미에르_앰플_리타겟,86456,837,0.97,954000,26,2748000
2026-07-18,루미에르_앰플_리타겟,83091,770,0.93,857000,26,2768000
2026-07-19,루미에르_앰플_리타겟,82852,785,0.95,886000,25,2750000
2026-07-13,루미에르_브랜드검색,26169,1961,7.50,721000,165,16132000
2026-07-14,루미에르_브랜드검색,25549,1848,7.24,679000,150,14066000
2026-07-15,루미에르_브랜드검색,25246,1839,7.29,679000,158,14353000
2026-07-16,루미에르_브랜드검색,25482,1844,7.24,689000,154,14115000
2026-07-17,루미에르_브랜드검색,25263,1733,6.86,659000,137,12784000
2026-07-18,루미에르_브랜드검색,24659,1701,6.90,634000,132,12139000
2026-07-19,루미에르_브랜드검색,24703,1666,6.75,625000,132,12842000
